flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code,anomaly,is_attack
175.6.29.81_211.65.196.137_0_0_icmp,train,attack,icmp,30,3060,300.681566,102.0,0.0,0.0997733263102667,10.176879283647208,0.0,0.0,0,0.0,8,0,-1,True
175.6.29.81_211.65.206.62_0_0_icmp,train,attack,icmp,60,6120,300.681747,102.0,0.0,0.1995465325003582,20.353746315036545,0.0,0.0,0,0.0,8,0,-1,True
175.6.29.81_211.65.193.19_0_0_icmp,train,attack,icmp,30,3060,300.681674,102.0,0.0,0.0997732904732996,10.176875628276568,0.0,0.0,0,0.0,0,0,-1,True
175.6.29.81_211.65.196.189_0_0_icmp,train,attack,icmp,30,3060,300.681919,102.0,0.0,0.0997732091765717,10.176867336010318,0.0,0.0,0,0.0,8,0,-1,True
211.65.192.5_8.148.136.2_0_0_icmp,train,attack,icmp,12,816,299.99586,68.0,0.0,0.0400005520076177,2.720037536518004,0.0,0.0,0,0.0,8,0,-1,True
175.17.20.133_211.65.196.149_0_0_icmp,train,attack,icmp,30,3060,300.736733,102.0,0.0,0.0997550239398258,10.175012441862233,0.0,0.0,0,0.0,0,0,-1,True
175.17.20.133_211.65.193.11_0_0_icmp,train,attack,icmp,30,3060,300.737936,102.0,0.0,0.0997546249037234,10.174971740179796,0.0,0.0,0,0.0,0,0,-1,True
175.17.20.133_211.65.196.137_0_0_icmp,train,attack,icmp,60,6120,300.737794,102.0,0.0,0.1995093440101512,20.349953089035427,0.0,0.0,0,0.0,8,0,-1,True
175.17.20.133_211.65.206.62_0_0_icmp,train,attack,icmp,30,3060,300.737941,102.0,0.0,0.0997546232452259,10.174971571013051,0.0,0.0,0,0.0,8,0,-1,True
175.17.20.133_211.65.196.189_0_0_icmp,train,attack,icmp,60,6120,300.737417,102.0,0.0,0.1995095941121287,20.34997859943713,0.0,0.0,0,0.0,8,0,-1,True
211.65.193.11_39.156.187.8_0_0_icmp,train,attack,icmp,30,3060,275.500525,102.0,0.0,0.1088927144512701,11.107056874029553,0.0,0.0,0,0.0,8,0,-1,True
211.65.196.149_39.156.187.8_0_0_icmp,train,attack,icmp,30,3060,275.500044,102.0,0.0,0.1088929045688283,11.107076266020488,0.0,0.0,0,0.0,8,0,-1,True
211.65.252.67_81.16.152.2_0_0_icmp,train,attack,icmp,1,64,0.001,64.0,0.0,1000.0,64000.0,0.0,0.0,0,0.0,8,0,-1,True
116.132.233.3_211.65.196.189_0_0_icmp,train,attack,icmp,15,1530,265.292096,102.0,0.0,0.0565414508240758,5.767227984055733,0.0,0.0,0,0.0,8,0,-1,True
116.132.233.3_211.65.206.62_0_0_icmp,train,attack,icmp,30,3060,265.292066,102.0,0.0,0.1130829144358957,11.534457272461363,0.0,0.0,0,0.0,8,0,-1,True
116.132.233.3_211.65.193.19_0_0_icmp,train,attack,icmp,15,1530,265.292125,102.0,0.0,0.0565414446433342,5.76722735362009,0.0,0.0,0,0.0,0,0,-1,True
116.132.233.3_211.65.196.137_0_0_icmp,train,attack,icmp,15,1530,265.291944,102.0,0.0,0.056541483219709,5.767231288410326,0.0,0.0,0,0.0,8,0,-1,True
211.65.193.11_58.221.40.133_0_0_icmp,train,attack,icmp,15,1530,231.022061,102.0,0.0,0.0649288640880058,6.622744136976598,0.0,0.0,0,0.0,8,0,-1,True
211.65.193.19_58.221.40.133_0_0_icmp,train,attack,icmp,30,3060,231.022466,102.0,0.0,0.1298575005255116,13.245465053602189,0.0,0.0,0,0.0,8,0,-1,True
211.65.206.62_58.221.40.133_0_0_icmp,train,attack,icmp,15,1530,231.022028,102.0,0.0,0.0649288733626734,6.622745082992692,0.0,0.0,0,0.0,0,0,-1,True
211.65.196.149_58.221.40.133_0_0_icmp,train,attack,icmp,15,1530,231.022086,102.0,0.0,0.0649288570617443,6.622743420297919,0.0,0.0,0,0.0,8,0,-1,True
211.65.233.6_52.81.250.234_0_0_icmp,train,attack,icmp,2,172,0.792224,86.0,0.0,2.524538514359575,217.11031223492344,0.0,0.0,0,0.0,8,0,-1,True
211.65.227.177_47.115.192.185_0_0_icmp,train,attack,icmp,10,1020,9.002794,102.0,0.0,1.110766279890443,113.29816054882518,0.0,0.0,0,0.0,8,0,-1,True
